"3";"7066";"Zdravotní inženýrství";"DLVX19Y";"49";"2236"
"3";"7245";"Zoogeografie";"DLEX38Y";"45";"2174"
"3";"7289";"Zoologie";"DLEX31Y";"45";"2184"
"3";"7287";"Zoologie obratlovců";"DLEX32Y";"45";"2184"
"3";"7391";"ZPŘÍSTUPNĚNÍ LESA";"DLTX67Y";"98";"178"
"4";"1338";"Agrární politika - pro doktorské studium";"DEEE08";"13";"22"
"4";"1386";"Analýza kategorizovaných dat";"DESE10Y";"23";"35"
"4";"1133";"Angličtina - doktorské studium";"DELX01Y";"24";"220"
"4";"1375";"Bankovnictví";"DEUE08Y";"20";"69"
"4";"1139";"Čeština  - doktorské studium";"DELX02Y";"24";"20"
"4";"1377";"Daňová soustava";"DEUE03Y";"20";"61"
"4";"1728";"Databázové systémy I.";"DEIX01Y";"25";"7"
"4";"1369";"Dějiny ekonomických teorií";"DENE01Y";"14";"17"
"4";"1330";"Ekonometrie  - Kvantitativní metody pro doktorský obor Odvětvová a podniková ekonomika";"DEEE07";"13";"26"
"4";"1332";"EKONOMIE pro doktorský obor Management";"DEEE01";"13";"26"
"4";"1328";"EKONOMIKA - doktorské studium oboru Odvětvová a podniková ekonomika";"DEEE05";"13";"26"
"4";"1337";"Ekonomika a politika životního prostředí";"DEEE09";"13";"94"
"4";"1334";"EKONOMIKA pro doktorské studium oboru Informační mamagement";"DEEE04";"13";"26"
"4";"1753";"Ekonomika světového zemědělství";"DEEE02";"13";"22"
"4";"1335";"Ekonomika výrobkových vertikál";"DEEE06";"13";"76"
"4";"7097";"Evropská integrace";"DEEE17Y";"13";"98"
"4";"1929";"Evropské standardy pro oceňování majetku";"DEUE11Y";"20";"68"
"4";"1364";"Finance a úvěr";"DEUE04Y";"20";"66"
"4";"1363";"Finance regionální správy";"DEUE01Y";"20";"66"
"4";"7832";"Finance regionální správy";"DKOF01Y";"20";"68"
"4";"1359";"Finanční management";"DEUE09Y";"20";"59"
"4";"2127";"Finanční řízení";"DERE12Y";"15";"125"
"4";"1135";"Francouzština  - doktorské studium";"DELX03Y";"24";"30"
"4";"1730";"Geografické IS";"DEIX03Y";"25";"14"
"4";"1370";"Hospodářské politiky";"DENE02Y";"14";"17"
"4";"1356";"Informační inženýrství";"DEIX31Y";"25";"11"
"4";"1380";"Informační management";"DETE04Y";"16";"46"
"4";"1323";"Informační systémy";"DEIX32Y";"25";"11"
"4";"1382";"Informační technologie";"DETE01Y";"16";"45"
"4";"1383";"Informační technologie a e-business";"DETE03Y";"16";"45"
"4";"4945";"Information Engineering";"DEIE03Y";"25";"11"
"4";"4946";"Information Systems";"DEIE04Y";"25";"11"
"4";"1381";"Infrastruktura informačních systémů";"DETEO2Y";"16";"46"
"4";"1339";"INVESTICE A DLOUHODOBÉ FINANCOVÁNÍ - doktorské studium";"DEEE03";"13";"83"
"4";"1138";"Italština  - doktorské studium";"DELX04Y";"24";"28"
"4";"1365";"Jakost a certifikace potravin";"DEUE05Y";"20";"60"
"4";"1373";"Komunikace mezi kulturami (Aplikace v obchodním jednání)";"DEPE03Y";"21";"55"
"4";"1760";"Komunikace v řízení";"DERE04Y";"15";"6"
"4";"1801";"Kvantitativní metody a modelování";"DEAE03Y";"17";"102"
"4";"1159";"Makroekonomie pro doktorandy";"DENE05Y";"14";"17"
"4";"1745";"Marketingové řízení";"DERE05Y";"15";"89"
"4";"1336";"MATEMATICKÁ EKONOMIE pro doktorský obor Systémové inženýrství";"DEEE10";"13";"26"
"4";"1357";"Matematická teorie programů";"DEIX04Y";"25";"10"
"4";"1362";"Matematické modelování";"DEAE01Y";"17";"8"
"4";"1352";"Měkké systémy, metodologie a aplikace";"DEAE09Y";"17";"102"
"4";"1632";"Měření a hodnocení jakosti IS";"DEIX05Y";"25";"10"
"4";"1379";"Metodologie vědy - DSP - AF";"DEHA06Y";"19";"147"
"4";"5440";"Metody a nástroje pro podporu informačního managementu";"DEIX17Y";"25";"111"
"4";"1367";"Metody projektového řízení";"DAE02Y";"17";"100"
"4";"5444";"Metody tvorby informačních systémů";"DEIX09Y";"25";"111"
"4";"1372";"Mezinárodní ekonomie";"DENE03Y";"14";"17"
"4";"1333";"Mezinárodní obchod";"DEUE07Y";"20";"2"
"4";"1251";"Mikroekonomie pro doktorandy";"DENE04Y";"14";"17"
"4";"1134";"Němčina  - doktorské studium";"DELX05Y";"24";"90"
"4";"1729";"Nové přístupy v databázových systémech";"DEIX02Y";"25";"111"
"4";"1732";"Objektově orientovaný přístup ve tvorbě softwaru";"DEIX06Y";"25";"111"
"4";"1733";"Operační systémy";"DEIX07Y";"25";"110"
"4";"1758";"Personální řízení";"DERE06Y";"15";"6"
"4";"1749";"Plánování a prognostika";"DERE09Y";"15";"89"
"4";"1374";"Politologie regionálního rozvoje - DSP";"DEHE04Y";"19";"157"
"4";"1747";"Poradenství pro řízení";"DERE07Y";"15";"154"
"4";"8038";"Portugalština - doktorské studium";"DELX08Y";"24";"2788"
"4";"7683";"Právní regulace veřejné správy a regionálního rozvoje";"DEJE02Y";"18";"200"
"4";"1739";"Projecting of information systems";"DEIX08Y";"25";"11"
"4";"1735";"Prostředky DTP";"DEIX10Y";"25";"7"
"4";"1748";"Provoz a hospodaření podniku";"DERE08Y";"15";"153"
"4";"3633";"Psychologie v řízení";"DEPE01";"21";"51"
"4";"1755";"Regionální ekonomika";"DEEE11";"13";"105"
"4";"7500";"Regionální rozvoj v evropském správním prostoru DSP";"DEHE05Y";"19";"157"
"4";"1137";"Ruština  - doktorské studium";"DELX06Y";"24";"24"
"4";"1751";"Řízení (management a marketing)";"DERX03Y";"15";"113"
"4";"1387";"Sociálně hospodářská statistika";"DESE08Y";"23";"32"
"4";"1368";"Sociální rozvoj oblastí v ČR - DSP";"DEHE02Y";"19";"175"
"4";"1371";"Sociální sítě, aktéři a instituce v regionálním rozvoji - DSP";"DEHE03Y";"19";"158"
"4";"1366";"Sociologie venkovského prostoru  DSP";"DEHE01Y";"19";"175"
"4";"1397";"Statistická analýza ekonomických časových řad";"DESE03Y";"23";"34"
"4";"1399";"Statistická prognostika";"DESE09Y";"23";"34"
"4";"1393";"Statistické metody (pro AF)";"DESA15Y";"23";"31"
"4";"1395";"Statistické metody v managementu";"DESE07Y";"23";"36"
"4";"1392";"Statistické metody v marketingu";"DESE02Y";"23";"31"
"4";"1396";"Statistické modelování";"DESE13Y";"23";"34"
"4";"1391";"Statistické procedury v SAS (pro AF)";"DESA14Y";"23";"32"
"4";"1385";"Statistické techniky zpracování dotazníkových anket";"DESE06Y";"23";"9"
"4";"1390";"Statistické vícerozměrné metody";"DESE11Y";"23";"32"
"4";"1389";"Statistické výpočetní prostředí";"DESE05Y";"23";"32"
"4";"1340";"STATISTIKA - pro doktorské studium";"DESE01Y";"23";"34"
"4";"2210";"Statistika - pro doktorské studium TF";"DEST16Y";"23";"32"
"4";"3899";"Statistika pro sociology";"DESE12Y";"23";"35"
"4";"1742";"Statistika v informatice";"DESE17Y";"23";"34"
"4";"1752";"Strategické řízení";"DERE10Y";"15";"196"
"4";"2204";"Strategický management";"DERE13Y";"15";"113"
"4";"1736";"Systémová integrace";"DEIX11Y";"25";"356"
"4";"1331";"Systémová metodologie (Kvantitativní metody - Matematické modelování)";"DEAE01";"17";"1"
"4";"1737";"Systémové inženýrství";"DEIX12Y";"25";"11"
"4";"1136";"Španělština  - doktorské studium";"DELX07Y";"24";"19"
"4";"1750";"Teorie řízení";"DERE11Y";"15";"113"
"4";"1351";"Teorie systémů a aplikovaná systémová věda";"DEAE05Y";"17";"1"
"4";"1376";"Účetní systémy podniků agrokomplexu";"DEUE02Y";"20";"59"
"4";"1358";"Umělá inteligence a znalostní inženýrství";"DEIX14Y";"25";"110"
"4";"1355";"Vybrané kapitoly z práva";"DEJE01Y";"18";"200"
"4";"1384";"Vybrané metody aktuárské matematiky";"DESE04Y";"23";"33"
"4";"1731";"Výpočetní systémy II.";"DEIE16E";"25";"110"
