"idPredmet";"vysledek";"zkouskove_otazky";"idClovek";"termin";"datum_terminu";"mistnost";"zacatek";"idClovekPrvniZkousejici";"idClovekDruhyZkousejici";"semestrSplneni"
"1133";"S";"(null)";"2041";"-1";"27.6.2002 0:00";"(null)";"(null)";"-1";"-1";"2"
"1133";"S";"(null)";"2081";"-1";"15.10.2002 0:00";"(null)";"(null)";"-1";"-1";"2"
"1133";"S";"(null)";"3194";"-1";"31.1.2002 0:00";"(null)";"(null)";"-1";"-1";"2"
"1134";"S";"(null)";"2004";"-1";"17.12.2002 0:00";"(null)";"(null)";"-1";"-1";"4"
"1134";"S";"(null)";"3836";"-1";"14.1.2004 0:00";"(null)";"(null)";"-1";"-1";"6"
"1134";"S";"(null)";"3837";"-1";"10.6.2002 0:00";"(null)";"(null)";"-1";"-1";"4"
"1393";"S";"(null)";"3844";"-1";"4.6.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"(null)";"U";"(null)";"3844";"-1";"26.3.2004 0:00";"(null)";"(null)";"-1";"-1";"6"
"(null)";"U";"(null)";"3844";"-1";"29.10.2002 0:00";"(null)";"(null)";"-1";"-1";"5"
"8970";"S";"(null)";"3825";"-1";"25.3.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"8978";"S";"(null)";"3825";"-1";"12.3.2003 0:00";"(null)";"(null)";"-1";"-1";"1"
"5795";"S";"(null)";"3825";"-1";"25.9.2004 0:00";"(null)";"(null)";"-1";"-1";"2"
"1134";"S";"(null)";"3825";"-1";"13.6.2005 0:00";"(null)";"(null)";"-1";"-1";"4"
"8980";"S";"(null)";"3825";"-1";"17.7.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"Z";"(null)";"3825";"-1";"13.6.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"Z";"(null)";"3825";"-1";"28.4.2004 0:00";"(null)";"(null)";"-1";"-1";"6"
"8891";"S";"(null)";"3824";"-1";"31.3.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"-";"(null)";"3825";"-1";"(null)";"(null)";"(null)";"-1";"-1";"8"
"(null)";"S";"(null)";"3824";"-1";"20.5.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"U";"(null)";"3824";"-1";"19.5.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"Z";"(null)";"3824";"-1";"18.12.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"8980";"S";"(null)";"3824";"-1";"24.4.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"8972";"S";"(null)";"3824";"-1";"12.8.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"1391";"S";"(null)";"3824";"-1";"29.9.2004 0:00";"(null)";"(null)";"-1";"-1";"5"
"(null)";"S";"(null)";"3824";"-1";"28.6.2005 0:00";"(null)";"(null)";"-1";"-1";"7"
"(null)";"S";"(null)";"3845";"-1";"8.4.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"1393";"S";"(null)";"3845";"-1";"18.6.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"5913";"S";"(null)";"3845";"-1";"20.6.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"8970";"S";"(null)";"3845";"-1";"(null)";"(null)";"(null)";"-1";"-1";"3"
"1393";"S";"(null)";"3850";"-1";"30.4.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"(null)";"-";"(null)";"3845";"-1";"(null)";"(null)";"(null)";"-1";"-1";"10"
"(null)";"Z";"(null)";"3845";"-1";"29.4.2005 0:00";"(null)";"(null)";"-1";"-1";"8"
"(null)";"S";"(null)";"3845";"-1";"28.4.2004 0:00";"(null)";"(null)";"-1";"-1";"6"
"8999";"S";"(null)";"3850";"-1";"20.3.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"8985";"S";"(null)";"3850";"-1";"11.3.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"8966";"S";"(null)";"3850";"-1";"24.2.2004 0:00";"(null)";"(null)";"-1";"-1";"5"
"(null)";"Z";"(null)";"3850";"-1";"24.6.2004 0:00";"(null)";"(null)";"-1";"-1";"6"
"(null)";"Z";"(null)";"3850";"-1";"20.1.2005 0:00";"(null)";"(null)";"-1";"-1";"7"
"(null)";"-";"(null)";"3850";"-1";"(null)";"(null)";"(null)";"-1";"-1";"9"
"1137";"S";"(null)";"3809";"-1";"13.1.2003 0:00";"(null)";"(null)";"-1";"-1";"2"
"1393";"S";"(null)";"3809";"-1";"31.10.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"8825";"S";"(null)";"3809";"-1";"26.9.2002 0:00";"(null)";"(null)";"-1";"-1";"2"
"1133";"S";"(null)";"3809";"-1";"4.3.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"S";"(null)";"3809";"-1";"26.6.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"8988";"S";"(null)";"3809";"-1";"24.2.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"Z";"(null)";"3809";"-1";"22.4.2005 0:00";"(null)";"(null)";"-1";"-1";"8"
"(null)";"-";"(null)";"3809";"-1";"(null)";"(null)";"(null)";"-1";"-1";"9"
"8980";"S";"(null)";"3810";"-1";"30.1.2003 0:00";"(null)";"(null)";"-1";"-1";"1"
"(null)";"U";"(null)";"3809";"-1";"17.9.2003 0:00";"(null)";"(null)";"-1";"-1";"5"
"5795";"S";"(null)";"3810";"-1";"11.7.2002 0:00";"(null)";"(null)";"-1";"-1";"2"
"1382";"S";"(null)";"3810";"-1";"17.12.2002 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"S";"(null)";"3810";"-1";"24.6.2002 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"Z";"(null)";"3810";"-1";"22.4.2005 0:00";"(null)";"(null)";"-1";"-1";"8"
"7285";"S";"(null)";"3810";"-1";"3.5.2004 0:00";"(null)";"(null)";"-1";"-1";"5"
"(null)";"U";"(null)";"3810";"-1";"10.3.2004 0:00";"(null)";"(null)";"-1";"-1";"7"
"5879";"S";"(null)";"3844";"-1";"22.9.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"S";"(null)";"3844";"-1";"24.5.2005 0:00";"(null)";"(null)";"-1";"-1";"10"
"8989";"S";"(null)";"3808";"-1";"11.12.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"8874";"S";"(null)";"3808";"-1";"22.6.2004 0:00";"(null)";"(null)";"-1";"-1";"5"
"(null)";"S";"(null)";"3808";"-1";"13.6.2005 0:00";"(null)";"(null)";"-1";"-1";"5"
"1133";"S";"(null)";"3808";"-1";"17.9.2003 0:00";"(null)";"(null)";"-1";"-1";"6"
"1134";"-";"(null)";"3808";"-1";"(null)";"(null)";"(null)";"-1";"-1";"8"
"(null)";"Z";"(null)";"3808";"-1";"22.4.2005 0:00";"(null)";"(null)";"-1";"-1";"8"
"(null)";"-";"(null)";"3808";"-1";"(null)";"(null)";"(null)";"-1";"-1";"9"
"(null)";"-";"(null)";"3808";"-1";"(null)";"(null)";"(null)";"-1";"-1";"9"
"8891";"S";"(null)";"2044";"-1";"22.2.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"8967";"S";"(null)";"2044";"-1";"31.10.2002 0:00";"(null)";"(null)";"-1";"-1";"2"
"1134";"S";"(null)";"2044";"-1";"22.10.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"1393";"S";"(null)";"2044";"-1";"20.2.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"5795";"S";"(null)";"2044";"-1";"5.6.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"U";"(null)";"2044";"-1";"16.11.2001 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"U";"(null)";"2044";"-1";"10.11.2003 0:00";"(null)";"(null)";"-1";"-1";"5"
"8891";"S";"(null)";"2041";"-1";"22.2.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"8998";"S";"(null)";"2041";"-1";"27.5.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
