"id_predmet";"kod";"nazev"
"2104";"DENE01Y   ";"History of Economic Thought                                                                         "
"2135";"DEEE02Y";"Economics of world agriculture                                                                      "
"3686";"DEPE01";"The psychology in management                                                                                "
"3740";"DESE04Y   ";"Selected Topics in Actuarial Mathematics                                                               "
"3840";"DEPE03Y   ";"Cross-cultural Communication (as applied to business agenda)"
"3900";"DESE12Y";"Statistics for Sociologists                                                                           "
"3952";"DESE02Y   ";"Statistical Methods in Marketing                                                                    "
"3960";"DESA15Y   ";"Statistical Methods (for AF)                                                                     "
"3967";"DESE03Y   ";"Statistical Analysis of  Economic  Time  Series                                              "
"3968";"DESE09Y   ";"Statistical Prognostics                                                                           "
"3969";"DESE13Y   ";"Statistical  Modeling                                                                            "
"3972";"DESE01Y   ";"Statistics -  for doctoral study                                                                  "
"3992";"DESE17Y   ";"Statistics  in  Computer Science                                                                      "
"4030";"DEST16Y   ";"Statistics in Computer Science                                 "
"4107";"DEIX14Y   ";"Artificial intelligence and knowledge engineering                                                         "
"4112";"DEIX07Y   ";"Operating systems                                                                                  "
"4113";"DEIE16E   ";"Computer systems II                                                                               "
"4143";"DETE04Y   ";"Information Management                                                                               "
"4226";"DERE13Y   ";"Strategic management "
"4294";"DERE12Y";"FINANCIAL MANAGEMENT                                                                                 "
"4318";"DEAE03Y";"Quantitative Methods and Modelling                                                         "
"4319";"DEAE09Y";"Soft Systems, Methodology and Applications                                                                "
"4768";"DEUE04Y   ";"FINANCE AND CREDIT                                                                                    "
"4769";"DEUE01Y   ";"Finance of Regional Authorities                                                                        "
"4840";"DEIX12Y";"Systems engineering"
"4843";"DEIX31Y";"Information engineering                                                                               "
"4844";"DEIX32Y";"Information systems                                                                                "
"4933";"DEUE03Y";"Tax System                                                                                    "
"4940";"DAE02Y    ";"Project Management Methods                                                                      "
"4944";"DEUE02Y   ";"Accounting systems of Agrokomplex                                                                "
"5046";"DEUE05Y   ";"Quality And Food Certification                                                                      "
"5087";"DEUE08Y   ";" BANKING                                                                                      "
"5100";"DEUE07Y   ";"Mezinárodní obchod                                                                                  "
"5237";"DEUE11Y";"Europeand Standards for Property Evaluation"
"5469";"DEUE09Y";"Financial Management                                                                               "
"5486";"DEIX11Y   ";"Systems integration                                                                                 "
"5518";"DEIX03Y";"Geographic information system and image processing"
"5880";"DAZA01Y";"Dendrology"
"5912";"DAZA04Y";"Vegetable Production"
"5914";"DAZA05Y";"Fruit Production"
"5916";"DAZA03Y";"Orchard Management"
"5918";"DAZA02Y";"Floriculture"
"6174";"DEHE03Y   ";"Social Networks Acters and Institutions in Regional Development   DS                                   "
"6239";"DETE01Y   ";"Information Technologies                                                                             "
"6265";"DEJE01Y   ";"Vybrané kapitoly z práva                                                                            "
"6412";"DEHE02Y";"Social Development                                                                       "
"6697";"DLRX09Y";"Forestry management"
"6699";"DLRX12Y";"Forest Valuation"
"6701";"DLRX11Y";"Valuation of natural resources"
